date,day,start_time,end_time,title,location,category,paper_titles,authors,description,link
 17 July 2023,Monday,08:30,09:40,CPS 01 - Statistical methodology II,CPS Room 108,Category: CPS,Performance Metrics for Sample Selection Bias Correction;Smoothed functional principal/independent components: computational and theoretical considerations;Adaptive outlier treatment technique for rapid recovery in time series;Estimating error rates in binary decisions with inconclusive outcomes,"
                AL
                 Ms An-Chiao Liu ;
                Td
                 Ton De Waal;
                MV
                 Mr Marc Vidal ;
                AA
                 Ana M. Aguilera;
                MP
                 Mária Pécs ;
                KK
                 Karen Kafadar ",Ms An-Chiao Liu Mr Marc Vidal Mária Pécs Karen Kafadar  ,https://www.isi2023.org/conferences/session/531/details/
 17 July 2023,Monday,08:30,09:40,CPS 02 - Aspects of official statistics II,CPS Room 101,Category: CPS,Quality Management in Statistics Portugal – news challenges in a journey of a life time;The role of expatriate population in overall population growth and structure,"
                MZ
                 Mrs Maria João Zilhão ;
                AA
                 Mr Ali Al flaiti ","Mrs Maria Zilhão Zilhão
Mr Ali Al flaiti
 ",https://www.isi2023.org/conferences/session/530/details/
 17 July 2023,Monday,08:30,09:40,CPS 03 - Environmental statistics II and CPS 44 - Statistical Modelling II,CPS Room 104,Category: CPS,From skepticism to conviction: The emerging statistical methodologies in integrating satellite and reanalysis data with station data.;A TIME SERIES MODEL FOR THE EFFECT OF FUEL PRICES ON FOOD AND NON-ALCOHOLIC BEVERAGE PRICES CPI IN NAMIBIA 2017-2021;Reparameterized count and semi-continuous regression models,"
                BS
                 Prof. Bashiru I.I. Saeed ;
                CN
                 Caleb Nambyn;
                EA
                 Mr Ebenezer Tawiah Arhin;
                AA
                 Amidu Abdul Hamid;
                LP
                 Prof. Lillian Pazvakawambwa ;
                MB
                 DRS Marcelo Bourguignon Pereira ;
                MB
                 Marcelo Bourguignon Pereira","Prof. Bashiru I.I. Saeed
Prof. Lillian Pazvakawambwa
DRS Marcelo Bourguignon Pereira",https://www.isi2023.org/conferences/session/529/details/
 17 July 2023,Monday,08:30,09:40,CPS 04 - Finance and business statistics II,CPS Room 105,Category: CPS,Application of Geographically Weighted Regression for studying natural gas consumption and price elasticity from microdata;Interrelationships between credit risk management and financial performance of Microfinance Institutions in Uganda,"
                LG
                 Prof. Luigi Grossi ; Mr Bob Barugahare ; Bob Barugahare","Prof. Luigi Grossi
Mr Bob Barugahare",https://www.isi2023.org/conferences/session/528/details/
 17 July 2023,Monday,08:30,09:40,CPS 05 - Statistical modelling VI,CPS Room 201,Category: CPS,Modelling consumer preferences in Multilateral Method for CPIs;Multi-state models: an appraisal with an application to real data, Prof. Tiziana Laureti ; Prof. Claudia Adriana Castro Kuriss ,"Prof. Tiziana Laureti
Prof. Claudia Adriana Castro Kuriss",https://www.isi2023.org/conferences/session/527/details/
 17 July 2023,Monday,08:30,09:40,CPS 06 - Clustering,CPS Room 102,Category: CPS,"Design and analysis of cluster randomized controlled trials to evaluate the effectiveness and safety of digital health interventions;Tell me who your friends are, and I will tell you who you are: The role of the second most frequent group in cluster labeling","
                LL
                 Prof. Ling Li ; Dr Anna Khalemsky ; Dr Yelena Stukalin","Prof. Ling Li
Dr Anna Khalemsky",https://www.isi2023.org/conferences/session/526/details/
 17 July 2023,Monday,08:30,09:40,CPS 07 - Statistical estimation II,CPS Room 107,Category: CPS,Child Labor Statistics using MICS: Work and Risky Work Estimates for 36 Low- and Middle-Income Countries;BOOME: A boosting method for variable selection and estimation with measurement error in binary responses and predictors;Quantifying the contribution  of individual records to the reidentification risk of (pseudo)anonymized datasets,"
                DL
                 Prof. Deborah Levison ;
                AB
                 Anna Bolgrien;
                LC
                 Dr Li-Pang Chen ;
                FS
                 Dr Fotios Stavropoulos ;
                GS
                 Gilbert Saporta;
                MB
                 Michel Bera",Prof. Deborah Levison Dr Li-Pang Chen Dr Fotios Stavropoulos/Michel Bera,https://www.isi2023.org/conferences/session/525/details/
 17 July 2023,Monday,08:30,09:40,CPS 08 - Statistics and climate I and CPS 64 - Statistics and climate II,CPS Room 202,Category: CPS,The relationship between population aging and climate change in China;SMB-Gen: A Bayesian Emulator for Surface Mass Balance within a Coupled Climate Ice-Sheet Computer Model;The impact of climate change on urbanization: A case study on two Egyptian Governorates ‎‎(Dakahlia and Ismailia)‎,"
                LX
                 Dr Lixiao Xu ;
                LX
                 Lixiao Xu;
                JO
                 Dr Jonathan Owen ;
                AH
                 Mrs Ezza Hassan Borae ","Dr Lixiao Xu 
Dr Jonathan Owen
Sarah Assem Mahmoud",https://www.isi2023.org/conferences/session/470/details/
 17 July 2023,Monday,08:30,09:40,CPS 09 - Impact of covid III,CPS Room 106,Category: CPS,Cross-border Food Remittances during the COVID-19 Pandemic: How Mobile and Digital Technologies transform Pathways from South Africa to Zimbabwe;A long-term frailty quantile regression model: application with a maternal population with severe COVID-19,"
                SS
                 Dr Sean Sithole ; Dr Agatha Sacrament Rodrigues ","Dr Sean Sithole
Dr Agatha Sacrament Rodrigues
 ",https://www.isi2023.org/conferences/session/469/details/
 17 July 2023,Monday,08:30,09:40,CPS 10 - Disease and mortality modelling,CPS Room 103,Category: CPS,"Non-Normal Estimation of Multiple Spatial Patterns of Disease using Multivariate Skews Normal Process;A Multivariate Spatial Autocorrelation Statistic, with an Analysis of Noncommunicable Disease-Related Mortality Spatial Clusters.;Mapping the burden of hypertension and diabetes in south Africa: A comparative analysis of the national 2012 SANHANES and the 2016 Demographic and Hea","
                AK
                 Dr Kassahun Ayalew ;
                SM
                 Prof. Samuel Manda ;
                NK
                 Ngianga-Bakwin Kandala ",Ayalew Kassahun Samuel Manda Ngianga-Bakwin Kandala,https://www.isi2023.org/conferences/session/468/details/
